Ensemble	H112	H122	H132	H111	H121	H131	H211	H221	H231	H212	H222	H232	H113	H123	H133	H213	H223	H233
ENSG00000069667	561	263	73	509	224	87	164	147	133	346	148	119	1697	191	6	199	118	132
ENSG00000069696	2	26	4	4	21	8	4	8	21	4	11	7	9	15	0	2	4	11
ENSG00000069702	2658	624	108	2184	499	121	1304	323	225	2498	333	255	8216	532	7	1491	255	187
ENSG00000069712	213	46	8	198	40	15	322	60	19	567	39	29	753	26	0	381	46	29
ENSG00000069764	1	9	7	5	4	4	1	6	5	1	3	10	14	9	0	2	10	2
ENSG00000069812	2	47	13	2	45	26	2	30	39	6	48	30	8	32	0	1	28	29
ENSG00000069849	3723	2263	404	3134	1831	639	1406	1766	1194	2630	1846	1388	11076	1927	29	1613	1365	1235
ENSG00000069869	2714	1725	344	2261	1322	575	1631	1633	1023	3266	1620	1140	8402	1377	30	2007	1250	931
ENSG00000069943	398	106	22	343	86	23	147	87	48	287	70	58	1206	109	1	165	58	37
ENSG00000069956	4080	963	119	3292	749	205	1575	830	515	3187	833	533	12105	764	8	1946	666	461
ENSG00000069966	1040	232	40	878	207	68	429	182	99	810	167	118	3269	181	5	429	118	122
ENSG00000069974	460	137	21	375	108	23	300	135	85	577	134	77	1386	124	1	356	107	57
ENSG00000069998	724	230	23	646	201	41	351	188	108	608	158	115	2323	186	0	358	115	84
ENSG00000070010	1085	867	147	1014	718	236	703	600	421	1082	557	512	3660	699	20	600	422	361
ENSG00000070018	2604	1036	180	2165	821	301	1352	959	594	2593	956	695	7942	824	18	1619	750	580
ENSG00000070019	0	0	9	0	0	10	1	0	2	0	0	3	1	0	1	0	0	4
ENSG00000070031	0	6	0	0	11	5	1	8	6	8	5	3	2	1	0	3	5	9
ENSG00000070047	1445	1745	222	1332	1464	367	1098	1342	866	1900	1331	942	4408	1408	13	1108	949	802
ENSG00000070061	2068	723	106	1695	520	173	1202	596	370	2395	606	444	6187	548	8	1338	423	364
ENSG00000070081	2993	437	41	2514	359	56	1619	543	221	3356	502	251	9222	315	8	1981	394	189
ENSG00000070087	3644	728	84	2973	526	106	2006	805	447	3927	707	500	10955	561	11	2331	629	405
ENSG00000070159	127	88	12	108	63	10	37	32	25	60	38	26	401	63	0	28	33	14
ENSG00000070182	10	24	13	10	20	14	15	16	11	10	8	6	30	19	2	7	9	11
ENSG00000070190	6	45	61	6	44	107	0	15	100	6	18	110	12	46	1	3	18	85
ENSG00000070193	9	0	0	6	0	0	19	0	5	47	5	3	46	0	0	26	1	0
ENSG00000070214	4413	661	85	3696	545	108	1295	356	164	2630	303	186	13092	541	2	1721	255	146
ENSG00000070269	705	262	46	631	160	73	446	226	163	829	212	191	2061	193	7	533	135	147
ENSG00000070366	762	625	130	651	485	183	591	460	274	1030	415	279	2697	440	9	556	324	318
ENSG00000070367	5514	1529	220	4377	1210	382	1668	1087	749	3458	1083	875	16595	1243	12	2367	986	747
ENSG00000070371	749	375	69	612	320	102	323	234	142	562	215	127	2365	294	0	266	187	116
ENSG00000070388	1	59	10	0	42	14	3	36	13	2	27	19	7	37	0	4	21	17
ENSG00000070404	1924	2163	269	1651	1829	481	747	1477	955	1129	1381	953	5994	1629	25	625	1033	812
ENSG00000070413	2760	401	40	2213	352	87	1813	660	320	3057	642	333	8402	287	6	1632	428	258
ENSG00000070423	760	361	34	708	339	67	501	348	154	764	349	177	2499	315	4	386	267	166
ENSG00000070444	230	305	47	203	263	66	315	210	72	492	245	94	834	246	6	267	196	106
ENSG00000070476	560	291	32	476	229	90	376	216	113	618	206	136	1858	199	2	316	139	105
ENSG00000070495	952	1888	799	797	1510	1405	826	1275	3288	1422	1217	3635	2843	1466	87	757	872	3196
ENSG00000070501	408	93	18	378	92	34	297	144	81	618	115	110	1125	81	1	352	73	82
ENSG00000070526	0	2	60	0	0	92	0	0	30	0	0	34	0	2	2	0	0	18
ENSG00000070540	1803	280	42	1469	248	82	1544	356	242	2773	387	263	5501	214	3	1493	281	236
ENSG00000070601	2	9	7	2	9	13	2	12	9	3	5	4	11	7	2	3	9	6
ENSG00000070610	1140	359	42	1027	299	82	902	536	207	1587	447	239	3649	293	2	834	340	237
ENSG00000070614	9324	1368	173	8294	1133	252	2894	1548	655	4463	1564	703	30429	1063	12	2660	1154	607
ENSG00000070669	5373	711	89	4396	643	163	1444	450	191	2960	405	239	16203	624	5	1674	292	176
ENSG00000070718	761	147	5	636	108	20	352	172	46	642	147	85	2364	117	1	358	121	63
ENSG00000070729	1	1	0	0	0	4	0	0	2	0	0	1	0	0	0	0	0	0
ENSG00000070731	11	103	24	15	83	40	14	29	36	17	34	41	44	66	0	16	36	41
ENSG00000070748	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000070756	9537	5021	1781	8479	4243	2523	5888	4053	3062	10096	4285	3901	31739	4148	128	6091	3617	3747
ENSG00000070759	129	40	57	84	35	99	79	27	69	126	38	66	359	31	9	82	23	74
ENSG00000070761	613	159	27	510	143	51	551	192	104	1014	136	98	1961	136	0	521	142	102
ENSG00000070770	2092	824	173	1776	665	251	955	703	443	1721	731	574	6541	629	12	1031	574	482
ENSG00000070778	1551	437	44	1364	335	81	604	565	229	1126	522	275	4999	317	4	736	413	232
ENSG00000070785	976	404	43	830	302	83	417	258	201	802	294	173	3140	308	4	496	167	179
ENSG00000070808	15	32	4	8	32	7	89	38	23	109	39	7	31	29	1	85	11	16
ENSG00000070814	1392	1149	123	1096	931	221	955	946	461	1637	838	491	4230	911	11	911	598	452
ENSG00000070831	10400	1993	204	8540	1640	266	3547	2362	1185	6977	2174	1290	30221	1646	15	3869	1745	1108
ENSG00000070882	2708	1018	171	2271	744	281	917	769	398	1759	748	454	8252	794	21	1045	606	382
ENSG00000070886	0	0	1	0	0	1	0	2	0	0	1	1	0	0	0	0	0	0
ENSG00000070915	0	2	2	0	0	1	0	0	0	0	0	2	0	0	0	1	0	0
ENSG00000070950	650	597	88	533	505	158	168	289	148	363	256	210	1894	484	4	215	198	180
ENSG00000070961	8142	1799	165	6743	1388	287	2968	1327	492	5910	1270	646	25073	1398	12	3636	1015	551
ENSG00000070985	2	24	27	2	20	55	2	9	54	10	23	87	11	20	2	2	4	60
ENSG00000071051	803	162	12	728	149	17	685	256	97	1169	299	138	2626	118	0	661	194	84
ENSG00000071054	9702	2410	448	8068	2002	752	4820	2737	1203	8883	2646	1486	30139	1992	22	5248	1970	1257
ENSG00000071073	6	49	24	5	41	39	10	31	41	9	12	48	32	36	0	1	9	37
ENSG00000071082	17004	3884	840	14367	3164	1165	12014	4639	4577	21443	4497	4135	50508	2786	84	11004	3361	3689
ENSG00000071127	23634	6505	807	20490	5365	1388	9611	7565	4490	16591	7050	4955	73209	5219	85	9867	5089	4110
ENSG00000071189	2324	803	127	1926	732	329	1187	659	468	2323	564	526	7016	743	8	1528	574	458
ENSG00000071203	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000071205	1518	908	200	1233	778	375	986	937	568	1957	824	653	4490	689	24	1147	692	600
ENSG00000071242	4994	907	102	4307	721	184	3485	1067	461	5937	976	482	15737	673	9	3559	699	443
ENSG00000071243	433	161	24	389	123	23	189	125	77	336	121	90	1417	137	2	257	73	76
ENSG00000071246	345	48	6	312	41	14	334	110	37	515	144	34	1099	45	1	260	85	42
ENSG00000071282	9240	1008	122	8110	792	225	292	201	117	465	175	136	28809	790	14	276	150	98
ENSG00000071462	1014	421	52	870	367	79	607	459	322	955	509	327	3078	297	5	534	387	316
ENSG00000071537	7719	1992	193	6461	1534	326	3402	1657	970	6533	1630	1176	23302	1592	16	3861	1322	1008
ENSG00000071539	341	268	21	288	208	25	219	276	94	387	278	109	1098	243	4	202	182	93
ENSG00000071553	1735	639	154	1549	558	271	977	748	410	1556	699	429	5749	517	18	868	471	390
ENSG00000071564	1915	587	56	1635	501	88	1933	939	360	2877	910	373	5972	461	2	1699	717	343
ENSG00000071575	931	145	19	863	115	40	613	266	95	1136	252	89	3020	118	2	684	220	70
ENSG00000071626	2315	1080	123	2172	881	234	1213	950	534	1974	921	549	7138	874	11	1297	659	451
ENSG00000071655	2105	478	49	1740	429	82	1094	644	313	1717	619	274	6384	374	7	985	432	317
ENSG00000071677	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000071794	2414	999	131	2001	797	277	1230	716	519	2579	700	674	7267	854	15	1519	566	474
ENSG00000071859	1896	707	84	1692	626	170	1334	887	337	2196	758	432	5782	581	11	1196	526	354
ENSG00000071889	826	117	15	662	102	27	520	144	80	856	122	74	2381	101	1	460	100	62
ENSG00000071894	1630	862	127	1433	771	207	1619	1029	454	2609	1007	459	5194	634	10	1433	805	426
ENSG00000071909	0	0	2	1	0	5	3	3	2	7	2	7	1	0	0	6	1	4
ENSG00000071967	14882	2159	276	12305	1670	493	5274	1420	947	10525	1407	1136	45299	1732	21	6384	1065	889
ENSG00000071991	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
ENSG00000071994	1858	516	84	1569	419	165	830	422	310	1518	423	354	5570	439	12	839	292	266
ENSG00000072041	24	9	0	21	11	1	93	16	9	211	11	3	64	6	0	139	12	4
ENSG00000072042	2202	1087	225	1716	806	408	1260	935	783	2491	850	953	6442	891	22	1413	707	779
ENSG00000072062	361	165	46	307	144	44	223	169	105	340	171	123	1230	138	6	200	122	131
ENSG00000072071	272	99	24	248	100	38	199	105	44	301	89	43	821	80	4	179	78	43
ENSG00000072080	11	7	5	4	6	3	2	5	8	5	8	7	30	8	0	4	6	14
ENSG00000072110	32985	6070	521	28610	4878	894	16227	8400	3152	27513	7893	3579	104318	4759	56	15664	6077	3167
ENSG00000072121	1524	610	88	1305	513	163	683	391	296	1139	411	299	5088	488	7	625	287	280
ENSG00000072133	551	221	35	437	187	66	151	236	145	309	226	176	1589	193	3	174	196	156
ENSG00000072134	865	259	27	823	165	40	683	253	96	1095	220	109	2743	189	3	618	157	97
ENSG00000072135	534	165	17	431	140	36	142	104	58	248	103	61	1703	161	1	148	87	47
ENSG00000072163	868	221	34	822	189	54	92	127	48	114	119	37	3158	138	3	66	97	45
ENSG00000072182	4	0	0	3	5	8	2	3	3	4	2	5	10	5	0	3	2	2
ENSG00000072195	2674	626	57	2433	524	101	1213	423	132	1930	438	160	8133	488	4	1076	295	142
ENSG00000072201	26	18	7	28	16	10	114	21	15	227	23	13	117	24	1	130	21	18
ENSG00000072210	1199	261	48	971	191	68	292	107	85	637	100	86	3512	213	4	376	58	53
ENSG00000072274	12177	4359	522	10121	3394	843	8538	3505	2740	17868	3559	3000	36770	3476	48	10955	2820	2556
ENSG00000072310	3395	440	52	2815	389	57	1534	311	132	2460	280	147	10595	334	0	1329	205	101
ENSG00000072315	1	11	5	5	10	4	21	23	14	58	24	13	7	11	1	38	18	4
ENSG00000072364	6906	2625	471	5894	2055	707	3684	2959	1712	7096	3048	2044	21763	2113	39	4464	2555	1743
ENSG00000072401	866	185	43	704	147	49	510	223	221	1002	203	265	2551	144	2	734	254	226
ENSG00000072415	2020	772	170	1743	638	242	769	642	441	1699	635	484	6337	590	19	1115	481	379
ENSG00000072422	1638	180	28	1378	153	43	832	387	213	1460	369	203	5127	124	2	841	261	171
ENSG00000072501	1551	751	118	1213	649	172	707	810	305	1299	738	335	4703	691	15	791	500	370
ENSG00000072506	1243	436	58	1068	366	125	623	377	258	1156	341	246	3689	333	5	638	272	222
ENSG00000072518	458	386	47	424	298	102	313	395	163	537	351	182	1561	267	6	310	248	185
ENSG00000072571	207	257	43	217	220	71	158	423	258	352	403	345	702	227	3	229	325	248
ENSG00000072609	1346	757	107	1072	606	168	564	525	351	999	583	407	3882	559	11	504	442	341
ENSG00000072657	1154	408	86	909	315	131	1902	1159	912	4033	1161	1108	3433	380	7	2626	988	932
ENSG00000072682	4613	1343	79	4163	1059	160	2712	911	315	4659	872	353	14748	993	2	2577	631	281
ENSG00000072694	1	0	0	0	0	3	0	0	0	0	1	0	0	0	0	0	0	0
ENSG00000072736	631	359	100	455	315	184	309	328	220	578	330	225	1702	258	8	350	253	204
ENSG00000072756	819	209	32	583	164	56	327	168	103	639	136	107	2285	161	1	406	88	89
ENSG00000072778	5119	2559	356	4592	2132	629	3660	3855	1776	6053	3498	1783	15764	2027	33	3357	2436	1636
ENSG00000072786	2117	1384	287	1875	1101	549	866	903	728	1381	855	847	6762	1045	39	796	624	751
ENSG00000072803	3361	690	70	2847	525	120	1443	709	409	2770	738	460	10139	589	7	1708	565	336
ENSG00000072818	79	43	20	86	33	25	38	25	19	68	36	37	297	38	4	33	26	29
ENSG00000072832	208	90	12	205	71	14	447	254	129	797	246	145	632	75	0	360	199	104
ENSG00000072840	1857	689	105	1666	576	132	1144	561	216	1704	461	230	5914	563	12	1001	374	220
ENSG00000072849	1376	673	116	1066	576	204	676	510	375	1236	457	365	4003	540	7	714	372	362
ENSG00000072858	1	5	14	0	3	31	4	5	13	2	1	7	6	2	2	1	4	4
ENSG00000072864	494	177	41	378	145	48	378	168	80	642	192	71	1457	167	9	368	134	55
ENSG00000072952	6032	465	88	5155	327	120	1279	705	288	2059	678	324	18995	390	9	1208	522	250
ENSG00000072954	35	12	2	35	11	7	35	15	28	45	17	19	107	12	0	38	14	15
ENSG00000072958	2102	888	168	1781	750	249	1324	953	551	2180	1040	677	6475	709	9	1290	653	597
ENSG00000073008	3479	872	60	2968	759	119	1952	777	257	3239	735	301	10792	659	4	1854	540	249
ENSG00000073050	325	130	14	296	97	35	376	141	88	610	154	103	1079	106	3	307	119	102
ENSG00000073060	444	152	80	422	128	134	328	175	113	560	207	133	1429	129	8	289	144	125
ENSG00000073067	5	16	1	7	20	1	1	11	5	10	12	2	10	20	0	6	9	2
ENSG00000073111	952	1641	152	735	1302	288	621	797	467	938	744	494	2815	1293	21	557	509	444
ENSG00000073146	141	19	6	122	19	11	68	38	29	137	41	48	424	11	0	71	20	22
ENSG00000073150	57	34	6	58	35	20	32	26	19	61	26	12	113	33	0	28	8	16
ENSG00000073169	337	207	28	266	161	50	394	223	139	634	200	157	958	186	1	314	150	132
ENSG00000073282	1	0	0	0	0	1	0	0	1	0	0	1	2	0	0	0	0	0
ENSG00000073331	682	98	12	618	94	35	444	84	35	830	72	45	2245	89	1	438	60	28
ENSG00000073350	18	1	0	19	1	3	3	10	8	6	7	7	48	5	0	3	5	3
ENSG00000073417	1048	680	115	869	565	229	671	508	353	1395	462	435	3118	522	17	839	405	382
ENSG00000073464	116	37	10	82	12	13	74	50	19	100	45	18	374	25	2	64	34	20
ENSG00000073536	584	202	23	496	149	50	511	170	88	797	166	106	1684	145	1	427	97	106
ENSG00000073578	2984	1211	159	2585	967	243	1658	1317	725	2846	1278	792	9490	974	8	1690	995	700
ENSG00000073584	2129	648	113	1695	568	186	1289	726	480	2491	647	579	6407	624	11	1498	607	472
ENSG00000073598	2	1	0	1	1	1	1	2	2	6	1	0	5	1	0	3	1	5
ENSG00000073605	147	80	8	124	77	21	107	143	30	178	129	31	450	79	0	94	102	26
ENSG00000073614	3242	1679	395	2775	1336	676	1591	1405	1187	3095	1380	1202	10525	1239	25	1992	1080	1133
ENSG00000073670	7	39	27	11	34	27	32	23	33	50	25	37	34	30	2	30	10	26
ENSG00000073711	1796	588	109	1444	457	183	647	504	283	1351	534	349	5533	522	13	819	437	290
ENSG00000073712	18330	4109	354	15828	3252	649	3649	3330	1512	7317	3056	1787	56758	3492	40	4417	2479	1492
ENSG00000073734	0	0	4	0	0	3	0	0	1	0	0	1	0	0	0	0	0	1
ENSG00000073737	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0
ENSG00000073754	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0
ENSG00000073756	842	351	43	692	240	71	839	140	137	1619	143	133	2533	263	5	1099	132	122
ENSG00000073792	1873	474	90	1704	373	169	1344	872	391	2228	834	498	5967	364	10	1314	717	404
ENSG00000073803	500	181	43	429	146	62	208	163	140	402	163	122	1559	162	3	222	103	140
ENSG00000073849	84	14	2	64	13	8	109	37	30	180	59	38	278	19	0	90	28	29
ENSG00000073861	0	1	6	0	0	5	1	2	0	0	0	3	0	0	0	0	0	1
ENSG00000073905	0	2	0	3	1	0	0	0	0	0	0	0	2	0	0	1	0	0
ENSG00000073910	1996	242	52	1697	180	99	783	292	148	1343	252	164	6167	198	3	799	235	142
ENSG00000073921	7025	2625	402	5851	2187	644	2829	2293	1271	5931	2284	1476	22228	2267	29	3513	1900	1281
ENSG00000073969	1610	525	85	1345	433	113	872	486	281	1832	481	285	5033	433	5	1008	366	264
ENSG00000074047	452	478	39	442	373	92	517	428	107	675	444	148	1501	400	2	372	308	123
ENSG00000074054	2585	1277	227	2146	995	426	1297	1237	765	2608	1132	876	7911	922	24	1390	929	783
ENSG00000074071	1335	554	67	1177	488	130	721	461	266	1255	454	276	4222	460	9	834	340	241
ENSG00000074181	625	400	65	674	309	93	1260	1044	485	1816	1025	541	2272	323	1	1119	751	556
ENSG00000074201	2529	488	106	2098	384	170	1202	494	327	2426	468	369	7641	383	8	1414	351	317
ENSG00000074211	2	3	2	1	4	2	0	1	2	4	1	3	0	2	0	1	3	2
ENSG00000074219	882	241	23	789	176	48	869	440	242	1500	449	258	2771	207	3	819	298	235
ENSG00000074266	489	334	63	360	251	86	188	157	114	365	171	100	1373	271	2	259	154	94
ENSG00000074276	0	4	1	0	3	0	2	3	10	6	2	5	2	3	0	3	3	4
ENSG00000074317	0	0	0	0	1	0	10	2	2	3	1	1	1	0	0	1	3	2
ENSG00000074319	1766	293	64	1368	237	103	856	349	132	1672	326	163	5225	256	3	985	250	138
ENSG00000074356	1027	710	131	915	598	216	532	546	386	1021	526	423	3098	595	14	636	457	339
ENSG00000074370	212	50	7	177	39	12	34	10	5	50	5	9	569	36	1	47	6	6
ENSG00000074410	369	146	37	336	109	46	525	223	129	1078	174	155	1174	116	1	622	175	121
ENSG00000074416	6868	2420	211	5695	2024	359	2624	1124	414	4569	1085	496	21113	1853	16	2409	774	405
ENSG00000074527	15998	161	27	13600	137	27	2811	279	132	5244	299	156	49401	154	3	3019	201	122
ENSG00000074582	525	206	43	393	195	54	356	205	140	732	192	141	1612	216	3	397	171	130
ENSG00000074590	2768	680	98	2387	539	183	401	499	416	763	497	464	8476	513	9	440	358	404
ENSG00000074603	2532	464	79	2089	382	139	768	440	208	1667	446	249	7837	373	4	1054	349	265
ENSG00000074621	372	91	42	326	97	52	170	67	54	242	54	60	1153	88	2	152	32	52
ENSG00000074657	2859	702	113	2343	568	173	1405	670	251	2463	666	313	9039	560	12	1414	525	261
ENSG00000074660	10	10	10	15	16	8	34	4	19	58	2	7	61	12	0	37	5	8
ENSG00000074695	11352	4446	767	9553	3423	1349	4988	3306	2546	10360	3069	2904	34125	3589	58	6855	2605	2327
ENSG00000074696	3368	1198	87	2859	1038	183	3324	1411	748	6427	1387	862	10248	1087	5	3482	1028	640
ENSG00000074706	15	6	0	7	4	2	10	3	11	24	2	8	28	3	0	11	1	4
ENSG00000074755	2277	1130	222	1971	990	391	1338	1141	543	2347	1041	576	7519	980	16	1285	804	552
ENSG00000074771	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
ENSG00000074800	38594	18428	2542	32978	15022	4628	21403	16875	11286	37258	15864	11837	118880	14444	251	20250	11385	10024
ENSG00000074803	2	3	27	1	2	83	0	0	3	0	2	2	2	2	9	0	2	4
ENSG00000074842	2704	1640	397	2480	1449	615	2066	1684	1412	3511	1660	1259	8327	1300	23	2101	1084	1178
ENSG00000074855	163	98	14	133	100	19	201	150	87	257	186	54	526	80	2	152	89	62
ENSG00000074935	879	89	10	768	92	21	211	65	30	445	67	27	2762	83	0	301	37	20
ENSG00000074964	1262	403	123	1067	351	192	601	257	194	928	230	228	3777	368	10	503	171	225
ENSG00000074966	4	8	8	2	4	12	0	3	10	2	1	8	9	2	0	1	0	7
ENSG00000075035	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000075043	0	3	0	0	3	3	1	0	6	0	3	7	0	3	0	0	3	4
ENSG00000075073	9	11	2	10	7	2	14	2	2	2	4	2	28	6	0	2	0	3
ENSG00000075089	737	170	21	568	153	49	254	126	73	634	134	118	2071	162	4	430	132	98
ENSG00000075131	187	123	9	134	91	15	110	97	41	230	78	46	613	93	1	135	60	25
ENSG00000075142	1944	323	38	1634	257	52	948	334	165	1972	378	227	5762	278	4	1170	268	189
ENSG00000075151	3760	773	136	3195	677	284	2259	1213	490	4284	1087	551	11310	667	11	2457	878	469
ENSG00000075188	663	150	11	571	100	18	296	106	50	676	112	48	1909	100	2	408	91	54
ENSG00000075213	2050	523	73	1683	430	154	2418	2198	862	5100	2061	998	6131	467	11	3178	1656	818
ENSG00000075218	179	339	34	156	307	59	109	371	183	162	451	179	569	300	1	91	310	141
ENSG00000075223	9029	1986	215	7479	1503	387	1085	1513	694	2398	1480	770	27394	1596	15	1466	1303	658
ENSG00000075234	618	251	25	562	211	42	450	259	160	779	264	164	1908	226	5	385	178	125
ENSG00000075239	2135	480	84	1695	380	125	808	427	300	1673	394	286	6332	363	12	868	341	284
ENSG00000075240	597	64	18	499	81	8	1055	117	50	1878	119	53	1780	62	2	1064	84	45
ENSG00000075275	45	33	6	36	30	7	98	39	18	138	37	36	104	19	1	81	31	18
ENSG00000075290	1	4	0	1	2	0	0	3	8	0	2	3	3	7	0	0	2	5
ENSG00000075292	4453	1436	289	3657	1085	479	2018	1353	932	4270	1280	985	13351	1189	17	2551	1041	853
ENSG00000075303	368	131	15	315	79	21	157	68	36	272	78	37	1155	88	2	212	63	50
ENSG00000075336	505	97	20	429	48	24	283	109	41	536	111	44	1559	70	2	320	79	54
ENSG00000075340	2	6	2	4	3	1	2	1	2	6	2	4	3	2	0	0	2	2
ENSG00000075388	0	1	0	0	0	1	0	2	1	0	4	1	0	1	0	0	2	1
ENSG00000075391	2510	1383	214	2120	1030	400	423	712	433	825	667	547	8035	1096	26	462	589	401
ENSG00000075399	646	165	20	532	143	37	637	186	71	993	150	49	1990	132	4	509	119	84
ENSG00000075407	1713	265	58	1386	240	82	549	274	151	1138	228	200	4986	233	5	664	176	175
ENSG00000075413	3518	1399	254	3107	1123	398	1577	1267	836	2999	1268	949	10834	1122	22	1716	980	817
ENSG00000075415	19016	5001	795	15784	4092	1374	7774	4417	3405	14164	4183	3826	56858	3900	87	8186	3021	3107
ENSG00000075420	9641	3496	635	8296	2655	1082	4793	3485	2033	8885	3382	2559	30234	2670	55	5346	2802	2251
ENSG00000075426	5156	901	73	4453	678	103	3539	868	279	5947	864	310	16001	672	7	3491	603	221
ENSG00000075429	0	0	1	0	0	1	0	1	3	0	0	1	0	1	0	0	0	3
ENSG00000075461	0	3	9	0	1	9	1	2	9	2	1	2	2	0	0	1	1	4
ENSG00000075539	2089	1516	272	1801	1280	441	1106	1163	697	2208	1159	725	6505	1275	19	1255	950	682
ENSG00000075568	1395	850	121	1259	697	261	752	663	382	1479	624	459	4622	677	7	878	577	393
ENSG00000075618	5815	3119	509	4948	2655	887	5765	4758	2837	8846	4783	3026	17786	2367	53	4860	3324	2829
ENSG00000075624	197647	83791	15221	170933	70099	25864	83178	87882	54308	138407	84690	62296	610353	68482	1300	77769	63990	53328
ENSG00000075643	584	147	23	479	134	32	559	131	65	1063	80	55	1816	100	0	594	75	66
ENSG00000075651	724	65	15	615	57	17	769	167	99	1485	167	119	2254	46	1	923	139	113
ENSG00000075673	1	2	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ENSG00000075702	133	443	58	109	363	104	108	310	143	184	316	145	491	351	2	90	196	121
ENSG00000075711	3605	822	169	2976	625	268	964	619	379	2127	613	452	10854	722	12	1294	478	407
ENSG00000075785	2326	779	127	2010	673	165	1162	852	413	2158	860	499	7484	612	8	1206	648	458
ENSG00000075790	2120	719	64	1701	553	91	645	400	182	1444	366	233	6520	563	3	1067	298	194
ENSG00000075826	148	39	6	107	34	15	82	33	30	148	27	27	434	33	0	72	25	24
ENSG00000075856	1693	1207	194	1443	933	381	965	843	674	1765	873	653	5433	994	19	944	592	536
ENSG00000075884	1	1	3	0	1	0	0	0	6	2	1	3	2	0	0	0	1	4
ENSG00000075886	6	2	0	3	1	0	2	1	0	1	3	0	11	3	0	2	2	0
ENSG00000075891	0	0	0	0	1	0	0	1	0	2	0	0	0	1	0	0	1	1
ENSG00000075914	922	330	56	805	210	80	363	191	137	614	168	118	2740	220	5	387	134	97
ENSG00000075945	1280	297	59	1016	240	78	560	195	130	1109	209	166	3614	232	2	605	148	117
ENSG00000075975	1635	639	95	1358	484	159	1086	690	400	2145	656	464	5234	460	6	1227	510	406
ENSG00000076003	1193	1049	77	987	775	93	479	430	210	973	473	245	3579	834	4	577	339	206
ENSG00000076043	4803	998	118	4026	749	214	1696	708	428	3204	689	417	14249	781	8	1807	514	371
ENSG00000076053	1629	380	55	1295	286	71	491	259	120	1057	238	134	4732	276	2	749	227	121
ENSG00000076067	1708	539	157	1458	440	221	988	925	512	1647	936	590	5266	458	12	1042	765	544
ENSG00000076108	963	1035	201	912	943	344	780	950	591	1205	954	692	3369	798	26	695	771	655
ENSG00000076201	290	211	24	297	146	29	270	171	50	391	201	77	1014	130	1	213	160	83
ENSG00000076242	1287	514	102	1067	447	179	774	523	334	1419	480	341	3900	410	7	791	327	267
ENSG00000076248	754	533	43	577	405	74	453	244	129	778	215	153	2184	352	4	400	188	110
ENSG00000076258	160	2	0	155	2	1	36	4	2	59	4	2	526	3	0	29	2	1
ENSG00000076321	1064	312	117	943	260	189	555	276	364	1115	283	365	3441	289	6	680	218	342
ENSG00000076344	121	22	8	135	29	11	53	22	8	102	11	7	409	19	0	66	7	10
ENSG00000076351	93	34	11	100	43	25	59	35	17	98	32	17	405	26	0	59	27	18
ENSG00000076356	223	516	84	171	435	120	61	87	30	81	77	41	602	353	3	53	61	25
ENSG00000076382	426	555	92	338	463	182	299	730	331	619	753	365	1351	461	7	356	579	276
ENSG00000076513	10681	1883	262	9130	1483	426	2000	1489	993	3888	1463	1060	32780	1452	27	2212	1094	843
ENSG00000076554	5	2	0	5	0	0	0	0	0	0	0	0	12	1	0	1	0	0
ENSG00000076555	198	143	26	207	106	45	122	86	50	160	85	54	533	101	1	106	78	59
ENSG00000076604	881	492	51	815	390	73	994	438	168	1431	402	175	2875	377	3	746	277	165
ENSG00000076641	359	72	9	291	58	22	370	396	144	824	359	185	975	62	0	471	290	120
ENSG00000076650	349	262	57	277	210	92	131	174	100	259	124	113	900	226	2	151	99	76
ENSG00000076662	0	1	4	0	0	10	0	0	5	1	1	3	0	0	1	1	0	7
ENSG00000076685	1638	306	46	1376	274	64	889	412	223	1693	389	221	4876	243	5	993	335	170
ENSG00000076706	860	240	29	770	191	68	1783	3188	1733	3028	3021	1862	2737	186	9	1641	2254	1583
ENSG00000076716	39	5	0	36	2	0	160	67	25	242	88	38	109	4	0	149	74	38
ENSG00000076770	298	33	4	240	32	14	129	37	21	305	42	23	967	29	0	138	39	29
ENSG00000076826	0	38	24	0	34	24	1	20	22	7	18	29	8	29	0	0	18	39
ENSG00000076864	11	21	3	15	14	14	3	8	10	9	7	10	40	12	1	3	6	13
ENSG00000076924	649	466	136	545	420	228	473	417	270	783	412	361	1960	408	15	431	298	279
ENSG00000076928	1841	675	155	1529	537	243	1011	559	301	1746	579	321	5582	501	15	922	406	262
ENSG00000076944	88	24	11	83	30	21	26	15	13	37	15	10	316	16	1	23	12	13
ENSG00000076984	395	248	18	373	170	31	267	219	68	457	198	78	1411	193	4	231	136	79
ENSG00000077009	0	0	3	0	1	10	0	1	4	0	0	4	1	1	1	2	0	4
